Time,rot_x,rot_y,rot_z,a_x,a_y,a_z,hpa,stat
000025.8935,-2056.,35.000,-32.00,-16.66,-37.37,33.375,,
000025.9782,,,,,,,1012.15,14.06
000026.0308,-2052.,44.000,-20.00,0.3399,4.6250,47.375,,
000026.1142,,,,,,,1012.14,14.07
000026.1681,-2052.,35.000,-24.00,1.3399,-2.375,-32.62,,
000026.2482,,,,,,,1012.15,14.07
000026.3056,-2053.,25.000,-43.00,6.3399,-7.375,15.375,,
000026.3888,,,,,,,1012.16,14.07
000026.4426,-2053.,36.000,-24.00,-5.660,-10.37,33.375,,
000026.5261,,,,,,,1012.18,14.08
000026.5799,-2047.,41.000,-31.00,19.339,32.625,-13.62,,
000026.6634,,,,,,,1012.12,14.07
000026.7211,-2048.,29.000,-23.00,-25.66,11.625,-39.62,,
000026.8006,,,,,,,1012.14,14.07
000026.8545,-2052.,30.000,-31.00,-1.660,-17.37,15.375,,
000026.9379,,,,,,,1012.14,14.07
000026.9918,-2050.,30.000,-38.00,-3.660,-46.37,-12.62,,
000027.0752,,,,,,,1012.13,14.07
000027.1290,-2048.,29.000,-20.00,-25.66,-61.37,-6.625,,
000027.2125,,,,,,,1012.14,14.07
000027.2702,-2047.,35.000,-23.00,14.339,-0.375,12.375,,
000027.3498,,,,,,,1012.17,14.09
000027.4036,-2058.,32.000,-36.00,17.339,28.625,15.375,,
000027.4870,,,,,,,1012.11,14.07
000027.5409,-2054.,30.000,-34.00,5.3399,-27.37,4.3750,,
000027.6243,,,,,,,1012.12,14.07
000027.6782,-2059.,30.000,-17.00,5.3399,-48.37,-27.62,,
000027.7644,,,,,,,1012.13,14.07
000027.8154,-2055.,4.0000,-14.00,-2.660,-41.37,15.375,,
000027.8989,,,,,,,1012.11,14.07
000027.9527,-2046.,39.000,-37.00,14.339,25.625,23.375,,
000028.0362,,,,,,,1012.16,14.07
000028.0900,-2048.,33.000,-24.00,-7.660,10.625,-35.62,,
000028.1734,,,,,,,1012.18,14.09
000028.2273,-2046.,21.000,-20.00,14.339,-21.37,12.375,,
000028.3135,,,,,,,1012.14,14.07
000028.3646,-2050.,32.000,-30.00,0.3399,-21.37,43.375,,
000028.4493,,,,,,,1012.16,14.07
000028.5018,-2046.,35.000,-31.00,-19.66,-6.375,-0.625,,
000028.5853,,,,,,,1012.17,14.09
000028.6391,-2052.,24.000,-22.00,7.3399,-18.37,-21.62,,
000028.7226,,,,,,,1012.15,14.08
000028.7764,-2044.,21.000,-15.00,9.3399,-52.37,9.3750,,
000028.8626,,,,,,,1012.13,14.09
000028.9137,-2051.,38.000,-34.00,31.339,-48.37,36.375,,
000028.9971,,,,,,,1012.13,14.07
000029.0510,-2056.,43.000,-17.00,-2.660,3.6250,-46.62,,
000029.1344,,,,,,,1012.14,14.08
000029.1883,-2045.,27.000,-28.00,4.3399,11.625,-17.62,,
000029.2717,,,,,,,1012.11,14.08
000029.3255,-2056.,26.000,-31.00,-3.660,-32.37,38.375,,
000029.4117,,,,,,,1012.16,14.09
000029.4628,-2054.,48.000,-26.00,-14.66,-55.37,3.3750,,
000029.5462,,,,,,,1012.16,14.08
000029.6001,-2054.,29.000,-23.00,-23.66,-3.375,-48.62,,
000029.6835,,,,,,,1012.13,14.09
000029.7374,-2045.,19.000,-19.00,29.339,-13.37,5.3750,,
000029.8208,,,,,,,1012.08,14.07
000029.8746,-2041.,37.000,-27.00,-24.66,-27.37,26.375,,
000029.9725,,,,,,,1012.12,14.09
000030.0121,-2046.,45.000,-32.00,-35.66,-32.37,-10.62,,
000030.0954,,,,,,,1012.14,14.09
000030.1492,-2047.,18.000,-20.00,-4.660,3.6250,-5.625,,
000030.2326,,,,,,,1012.14,14.08
000030.2865,-2046.,34.000,-29.00,11.339,3.6250,28.375,,
000030.3699,,,,,,,1012.13,14.09
000030.4238,-2051.,44.000,-33.00,-11.66,5.6250,13.375,,
000030.5100,,,,,,,1012.13,14.09
000030.5610,-2046.,23.000,-21.00,-37.66,-10.37,-19.62,,
000030.6445,,,,,,,1012.16,14.10
000030.6983,-2051.,20.000,-25.00,7.3399,5.6250,37.375,,
000030.7818,,,,,,,1012.15,14.09
000030.9008,-2053.,38.000,-44.00,5.3399,-38.37,30.375,,
000030.9544,,,,,,,1012.12,14.09
000031.0121,-2041.,41.000,-40.00,-21.66,-6.375,-16.62,,
000031.0917,,,,,,,1012.17,14.09
000031.1455,-2044.,26.000,-25.00,-0.660,-55.37,-11.62,,
000031.2289,,,,,,,1012.15,14.09
000031.2828,-2054.,28.000,-25.00,42.339,-2.375,23.375,,
000031.3662,,,,,,,1012.14,14.09
000031.4201,-2048.,38.000,-20.00,-18.66,3.6250,-36.62,,
000031.5035,,,,,,,1012.14,14.09
000031.5612,-2048.,32.000,-23.00,-17.66,-10.37,-29.62,,
000031.6408,,,,,,,1012.13,14.09
000031.6946,-2054.,26.000,-36.00,13.339,1.6250,32.375,,
000031.7781,,,,,,,1012.15,14.10
